GaiaDR3,SpType
60061372423424896,"DA "
60544332905654656,"DA "
60575600267771520,"DA "
60608688695819520,"DA "
60705106417608576,"DA "
60797907775070080,"DA "
60920881278651008,"DA "
60936347458462080,DZ:
61018600374851840,"DA "
61048665146205824,"DA "
61125459160910080,"DA "
61130544402258304,"DA "
61156932681596544,"DA "
61196519396799232,"DA "
61252319609986688,"DA "
61252388331976192,"DA "
61270839511535232,"DA "
61372578696143616,"DZ "
61382405581323008,DA:
61458615479011840,DA:
61492386807222784,"DA "
61497407625478272,"DA "
61580725694145536,"DB "
61657897666474496,DA:
61700641181416448,"DA "
61768123707820416,"DA "
61856496954301696,DB:
61895014221385856,"DA "
61934562280099456,"DC "
62271429450749824,"DA "
62311183668001664,"DA "
62364956661097216,"DA "
62558500768907776,"DA "
62615473509949696,"DA "
62693431461952512,"DA "
62884540326096896,DA:
62932785694348928,"DA "
63054590968017408,"DA "
63086575588665216,"DA "
63126196662620416,"DA "
63214776068092288,"DA "
63242568800089088,"DA "
63335859786366208,"DA "
63800369090666880,"DA "
63804625400911232,"DA "
63846445499673472,"DC "
63917531500917248,"DA "
63975805617410176,"DA "
64009654256059008,"DC "
64042188631491072,"DA "
64059918256611072,"DA "
64061503103122048,"DA "
64173923868292224,"DA "
64178940390083456,DC:
64416404838181248,"DA "
64451516195156992,"DA "
64672350529217792,"DC "
64762128229363968,"DA "
64829061000805760,"DA "
64949766761769088,"DA "
64949766767215104,"DA "
64993437988796928,"DA "
65092222236814720,"DA "
65339337474578688,"DA "
65375350777782912,"DA "
65454240737716096,"DA "
65511479763638144,"DA "
65580989514577280,"DA "
65606312642395648,"DC "
65610714986147712,"DA "
65758530579983744,DA:
65778351852332672,"DA "
65909606052809984,"DA "
65930806010961920,"DA "
65958916574337152,"DA "
66027979649547136,"DA "
66143664590742912,"DA "
66144699680456320,"DA "
66275644642419968,"DA "
66341576682958080,"DA "
66349346281437952,"DA "
66446786201518720,"DA "
66459155707487360,"DA "
66663012035429504,"DA "
66694622995319936,"DA "
66697547870378368,"DA "
66837563803594880,DA:
66887625943880832,"DA "
67046638514883072,"DA "
67116938539377152,"DA "
67156078578905856,DC:
67294715824940416,"DB "
67352921221882496,"DA "
67426902036426496,"DA "
67454007572303232,DA:
67523208085680896,"DA "
67620897117741440,"DA "
67779153776941824,"DA "
67833373443520640,"DA "
67872685280646528,DZ:
67988542022592128,DC:
68127050423764224,"DB "
68180819117776128,DA:
68195598100205696,"DA "
68253593043789568,"DA "
68312386852778752,"DA "
68387630383786624,"DA "
68443293159015808,"DA "
68497822064144000,"DA "
68500605202966656,"DA "
68677351697821312,"DA "
68703293299374080,DA:
68878768483539328,"DA "
68965973499862144,"DA "
68994079765218944,"DA "
69080120844978560,DA:
69081319141373696,DB:
69205392156731392,DA:
69211478126021376,"DA "
69427837102594432,"DA "
69573801567332608,"DA "
69594894150326528,"DA "
69672517095981312,"DA "
69719589937482112,"DA "
69750165808137856,"DA "
69860735446872832,"DA "
69909629354138496,"DA "
69990202940592896,"DA "
70121805033332480,"DA "
70228419006744320,"DA "
70294183545534976,"DA "
70380014171908224,"DA "
70410942235044864,"DA "
70547586617268992,"DA "
70555214479241600,"DA "
70664414022248448,"DA "
70723164879244544,"DA "
70728215760951424,DA:
70851257984504704,"DA "
70860401972786432,"DA "
71121398543609984,"DA "
71253541800838016,"DA "
71255259787793152,"DA "
71484271740223872,"DA "
71554571765081728,"DA "
71797662617360256,"DA "
71901497747584128,DA:
71927271847167232,"DA "
72188199698479104,"DA "
72488946194001408,"DA "
72580003795909120,DC:
72633600692215424,"DA "
72654113456101376,"DA "
72755955720424320,"DA "
72893085436257280,"DC "
72992389375581440,"DA "
73049490965736576,"DA "
73071137600413952,"DA "
73126873390979072,"DA "
73137589334850560,DA:
73182222634872064,"DA "
73226890294396032,"DB "
73279288895939584,"DA "
73386285123226624,"DA "
73668756530042112,"DA "
73726927567246848,DA:
73776474309629696,"DA "
74225521730477952,"DA "
74336778563550464,"DA "
74536477362896768,DA:
74656221051147136,"DZ "
74799127498374144,"DA "
74803108933097216,"DA "
74814413286500608,"DA "
75004701812799360,"DA "
75053286482905088,"DA "
75069637422990976,"DA "
75289093072097920,DB:
75412719410591360,"DA "
75420415991971456,DA:
75596273428325888,"DA "
75692923077284096,"DA "
75783121685634816,"DA "
75839334216914688,DA:
76075346965206400,"DA "
76147158818012928,"DO "
76211445888638720,"DA "
76318790006992896,"DA "
76501064123487616,DC:
76503228787040640,DA:
76913488358361472,"DB "
76977912867771392,"DA "
77101569271041280,"DA "
77213753816458752,"DA "
77266770893228288,"DA "
77271409457935872,"DA "
77708843286683904,DA:
77983343236811264,"DA "
77986298173874176,"DQ "
78094600069553920,"DA "
78143910589374464,"DA "
78154317294555776,"DA "
78413183563424000,"DC "
78579003660829184,"DA "
78629306318257536,"DC "
78649033103283584,"DZ "
78677547390980096,"DA "
79189060815782528,"DB "
79196585598575616,DA:
79199819709072512,"DA "
79222359697590656,DC:
79407623111414656,"DA "
79678618367765760,"DB "
79808158877017216,"DA "
79833585083402240,"DA "
79950305114153472,DC:
79981774339408128,"DA "
80005345120432512,"DA "
80021395413450880,"DA "
80095784246818944,"DA "
80107603996819584,"DC "
80196183402493312,"DA "
80204842056314496,"DA "
80310837554354816,DA:
80338363999646976,"DA "
80460989610909696,"DA "
80591797134302720,"DA "
80593137164436736,"DA "
80926701504179584,"DA "
80927083756894080,"DA "
81102077903961984,"DA "
81439451879987072,"DA "
81459861564729600,"DA "
81606375784491520,DA:
81615751697677696,DA:
81957772828837888,"DC "
82063944420504960,"DA "
82121703139940608,"DA "
82134068350819584,"DA "
82257454171394176,"DA "
82401833791866880,"DA "
82438942309479424,"DA "
82481415241601280,"DA "
82542094539385088,"DA "
82678738923759488,"DA "
82726911276981376,DC:
82885378390146560,"DA "
82958603288003200,"DA "
83067042622322048,"DB "
83273712153331968,"DA "
83313023989441536,"DA "
83477126099594368,"DA "
83501177916465920,"DA "
83567316117704064,"DA "
83595559822350720,"DA "
84205239019857280,"DB "
84374151493849984,"DA "
84664250764986880,"DB "
84731114816063616,"DA "
84816223888166016,DA:
85008707141970304,"DA "
85045407638038144,"DB "
85074643480290048,"DA "
85149272831926144,"DA "
85169167119976192,"DA "
85182807936131200,"DA "
85198166739390336,DZ:
85204626370148864,"DA "
85469849190835968,"DA "
85552175124973056,"DA "
85649413183595392,"DA "
85701949223254144,"DB "
85771184096244480,"DA "
85787470611883008,"DA "
86002459494919936,"DA "
86020532717427968,"DA "
86082208448194944,"DA "
86204254238614912,"DC "
86339700327208192,DA:
86438587654100352,DB:
86450304324886016,"DA "
86491501651285504,"DA "
87034011855755648,DC:
87104307585376256,"DA "
87239066479378432,"DA "
87245285591512320,DA:
87358191692216320,"DC "
87377467505518592,DA:
87389978745200640,"DA "
87398701823496832,"DA "
87577269383664512,"DA "
87648226538760064,DC:
87706943036207232,"DA "
87712165716505216,"DB "
88279277493793792,"DA "
88351497368606976,"DA "
88471000538743808,DC:
88626684513029632,"DA "
88661082906621312,"DA "
88698908686586752,"DC "
88699119136916480,"DA "
88777936081519488,"DA "
88936579288678400,"DB "
88996326578456192,"DC "
89061369563264256,DA:
89110744507050624,"DA "
89123320171329664,"DB "
89512001827263616,"DA "
89586833041913216,"DA "
89644351244229888,"DA "
89764438529849600,"DA "
89918924208626816,"DA "
89987639390218496,DA:
90076974709491968,"DA "
90367383218249472,"DA "
90565849362482432,"DA "
90680847111573120,"DB "
90727816874018816,"DA "
91069421392611840,"DA "
91079527451249792,"DB "
91271014273084800,DA:
91460813172927488,"DA "
91646802436139776,"DA "
91660237094458496,"DA "
91690164426711040,"DA "
91980130553425536,DA:
92009503837556096,"DA "
92185017673400960,"DA "
92200543979897600,"DA "
92422095572929536,"DA "
92597914738232448,DA:
92630590465904384,"DA "
92793215107145728,"DA "
92890762404031488,"DB "
92971988825675520,"DA "
93002813806259584,DA:
93047412746819968,"DA "
93238895273124480,"DA "
93344899361488384,"DA "
93397465465905536,"DA "
93772403226364288,"DA "
94061295611164544,"DA "
94150944463779968,"DA "
94276941624384000,"DA "
94316038711230592,DA:
94510690924524544,"DA "
94542812984721536,"DB "
94662522313438592,"DA "
94721964660728960,"DA "
94723820086633344,"DA "
94966605997985280,DC:
95151671844073856,"DA "
95246264203563392,"DA "
95297185335797120,"DA "
95388646664330240,"DA "
95636723974960384,"DA "
95970326970129664,"DA "
95997054551467520,"DA "
96095735719745280,DA:
96177202659647744,"DA "
96217820165602048,"DA "
96371094663101824,"DA "
96399200929308160,"DA "
96453734129365120,"DA "
96557977280459520,"DA "
96587973331540864,"DB "
96704457140110080,"DA "
96801347307414784,DA:
96859724502640640,"DA "
96973352157346176,"DA "
97082173743761152,"DA "
97097425172902656,"DA "
97097803130032000,"DA "
97294340834478208,"DA "
97519087881614720,"DA "
97713529641155840,DA:
97802693162635520,"DA "
97878078428225920,"DA "
98035961426035712,DC:
98075028448822656,"DA "
98092934167683072,"DA "
98148287706192256,"DA "
98159141089386240,"DB "
98192023357931264,"DB "
98247823572635648,"DA "
98361829185052032,"DA "
98381792193298176,DA:
98584652088493056,"DA "
99013702140961792,"DA "
99064833727036160,"DZ "
99068815161782144,"DA "
99135747931605120,"DA "
99498964725981440,"DQ "
99733096278562560,"DA "
99915890086770176,"DA "
99917779872376576,"DC "
99989797884119040,"DA "
100204924205919104,"DA "
100402832003520000,"DA "
100445163201292800,"DA "
100582121118603648,"DA "
100606035496346752,"DA "
100628403686282496,"DA "
100695959227060480,DA:
100906373969824896,"DA "
100956710986575232,"DA "
101354768554897920,"DA "
101487607599098112,"DA "
101501351494434304,DA:
101673523847748736,DA:
101751348655436672,"DA "
101854122928108288,"DQ "
101971697657457792,"DA "
102011108277613952,"DA "
102038286830643840,"DA "
102042753596648704,"DA "
102051206091833856,"DA "
102197819095436288,DC:
102198884247334912,"DA "
102314195529969792,"DQ "
102350823010868736,"DB "
102390302349905024,"DA "
102403049812936960,"DA "
102404252403686016,"DA "
102540493061864832,"DB "
102830351814677760,"DA "
102847359885208704,"DA "
103190441873100160,"DA "
103201776291105024,"DA "
103219785089409152,"DA "
103291111611179520,"DA "
103440095437050752,"DA "
103643848685046912,"DA "
103966108671066752,"DA "
103999471976858496,"DO "
104118528470334720,"DC "
104446496468648960,DA:
104450890219498624,"DA "
104504697569991040,"DA "
104648944047154432,"DA "
104789471081444736,"DA "
104807892196546048,"DA "
104870839237459456,DA:
105123069781623552,"DB "
105240786245136256,"DC "
105299786211260160,"DA "
105334764424889472,"DA "
105380497236658432,DC:
105381077057227392,"DA "
105430868613160832,DA:
105446463639244416,"DA "
105601048101988992,"DA "
105617304552984576,DA:
105670871385474560,"DA "
105697328384163712,"DA "
105716359383595136,"DA "
105814662595865216,"DA "
105869848630802432,"DA "
105901249136149888,"DA "
106039585738085120,"DA "
106065355541755264,"DA "
106241174322991360,"DA "
106402935675615104,"DA "
106904970108616064,"DA "
107109749853905280,"DB "
107161736138440448,"DA "
107552543802262656,"DA "
108166552326729984,"DA "
108349139976445056,"DA "
108602543046747008,"DA "
108636215590811264,"DC "
108707993084039424,"DA "
108796538130004352,"DA "
108837907254684672,DA:
108954459782118400,DA:
108959819902276480,"DA "
108996752325057280,DC:
109145603007442176,DA:
109224626110876928,"DB "
109247788869176448,"DA "
109328083282439168,"DA "
109336535778050944,"DA "
109370826796981120,"DA "
109534727043792896,"DA "
109623546967965568,"DA "
109747826141653888,"DC "
109925839650545664,"DZ "
109947761163931904,DA:
109974802278086144,"DA "
110122205555684736,"DA "
110181373025187328,"DA "
110600699272016640,"DA "
110835311863083520,"DA "
110863555565343360,"DA "
110925574893371776,"DA "
111348298459276800,"DA "
111473848943395072,"DA "
111882248793683328,"DA "
112003886563861504,"DA "
112064973882194304,"DA "
112279726543675136,"DB "
112462722213568768,"DA "
112627305360152320,"DA "
112710666381083520,"DA "
112765981264267264,"DA "
112809652491865344,"DA "
113039244263642496,"DA "
113135039214473984,DA:
113243787786327296,"DQ "
113477949402940800,DZ:
113652771751937664,"DA "
113741110639209344,"DA "
113897619247454720,DB:
113951254799398784,"DA "
114024406682235264,DB:
114143257016957056,"DA "
114472045353533184,"DA "
114592338797528320,DA:
114647043796704640,"DA "
114808397128552576,"DA "
114814165268814720,"DA "
114851999635497344,"DA "
114994622614298752,"DA "
115174122182692352,"DA "
115202395952370432,"DA "
115272489818479488,"DA "
115344095513403520,"DA "
115359939648774912,"DA "
115408897979755648,DA:
115409280235239296,"DA "
115630105975734144,"DA "
115671578180163072,"DA "
115831625841097984,"DA "
115864267592397056,"DA "
116324829820500352,"DA "
116632933597655680,"DC "
116740685736215040,"DA "
116797890403824896,"DA "
116821740360184320,"DA "
116827336699144704,"DA "
116827856393605120,"DA "
116864758749758848,"DA "
116869393023307648,"DA "
117132318032317184,"DA "
117133069651409152,"DA "
117261167051122688,DB:
117651695542992256,"DA "
117690801219527168,"DA "
117698046829540224,"DA "
117737972845618432,"DA "
117761131309671936,"DA "
117793708637275392,"DA "
117911562539967488,"DA "
117957222336143104,"DC "
118041644213547008,DA:
118144246687787904,"DA "
118180938593079680,"DA "
118221002047148800,"DA "
118393560949382912,"DA "
118559548549724288,"DA "
118608442457453056,"DC "
118733344401915136,"DA "
118891502277780352,"DA "
118992756130477312,"DA "
119114011647548544,"DB "
119265091417055872,DA:
119407890490322432,"DA "
119632092079209984,"DA "
119677790531181056,"DA "
119711050757865856,"DA "
119856839126086400,"DA "
119904113831645952,"DA "
119955309841235712,"DA "
120003516554333312,"DA "
120059179330248704,"DZ "
120346254944904320,"DA "
120664082524436096,"DA "
120679441327527296,"DA "
120891200395103104,"DA "
120936319027311744,"DA "
121006855274563456,"DA "
121292384700175360,DA:
121327057972021504,"DA "
121351144148645504,"DA "
121478236525529216,"DA "
121519060190456960,"DA "
121741397761143296,DA:
121823758054321280,"DA "
121913505690892416,"DQ "
121987276049284096,"DA "
121992739247737856,"DA "
122086506973325056,"DA "
122197149626754688,"DA "
122291295308767360,DA:
122323829686102656,"DA "
122400524918199424,"DA "
122623652763818752,"DA "
122719035396936192,DA:
122924854525869824,"DA "
122990511689965440,"DQ "
123154618096670208,"DA "
123169594646720128,"DA "
123296175922161920,"DQ "
123380907037287936,"DC "
123423787991349376,"DA "
123440903436388096,"DA "
123474777842204544,"DA "
123477840154269184,"DC "
123478596069419392,"DA "
123544425032108672,"DA "
123643827755305856,"DA "
123719075582670208,"DA "
123887369581044864,DC:
124018314543541248,"DA "
124260138384271104,DA:
124271408376350720,"DA "
124325563619559168,"DA "
124561816885953920,"DA "
124570441180385536,DA:
124627104682999808,DA:
124770930252688256,"DA "
124854286977967872,"DA "
125049003615962880,"DA "
125119582814954880,"DC "
125315772624513024,"DA "
125336251028476544,"DA "
125339755721933440,"DA "
125612743843837696,"DA "
125646592480201472,DB:
125663119514092800,"DC "
125664936286280704,"DA "
125952943908854144,"DA "
