GaiaDR3,SPPred
" 203560937069785088",DA
" 203828633790026496",DA
" 203833409791964032",DC
" 203931163247581184",DBZA
" 204528339801208192",DA
" 204569876426162944",DA
" 205216011304319488",DC
" 205275973344125440",DC
" 205380770549396736",DA
" 205621662375297792",DC
" 207878822308303744",DC
" 208021900557436800",DC
" 209292283163497344",DC
" 209405631644850688",DA
" 209514517654072832",DA
" 209794966135426688",DA
" 210000437370798976",DC
" 210289707712051840",DC
" 211044767260071168",DA
" 212277457233059712",DC
" 212906962000064768",DC
" 212906961997015552",DC
" 213146823035276160",DC
" 213458843820167040",DC
" 213860204221146880",DA
" 214339793153917184",DA
" 214729088987603200",DA
" 216683956238279168",DA
" 217346377632819712",DA
" 217488794453227520",DC
" 217981547462017408",DC
" 218783542413339648",DA
" 219300755256281472",DC
" 221424221446885248",DA
" 222620047718000768",DA
" 224218080493203328",DA
" 224331059611503232",DC
" 225641157776953984",DC
" 226009184935762176",DA
" 226629653090663936",DA
" 226849009958243328",DC
" 226946969569258368",DC
" 227398112934588288",DC
" 227733700204888448",DC
" 228523183914126464",DA
" 229143725086190336",DA
" 230734336155223680",DA
" 232990572675079296",DA
" 234001161301203328",DA
" 234265422044489856",DA
" 234469931207274112",DZ
" 235842052999634944",DC
" 236921601622832384",DA
" 237144321446511232",DB
" 238193869715833984",DC
" 238653229356266752",DA
" 239721228805415296",DC
" 241745640169579776",DA
" 242769594727612032",DA
" 242802266545591936",DA
" 243158134653909760",DC
" 243645699341060608",DA
" 244193118694872192",DA
" 244214799689691904",DA
" 244950029370421888",DA
" 245024826220178304",DA
" 245169759897807488",DA
" 245549057044176384",DC
" 246495152445504640",DA
" 246553113023408256",DC
" 246775562271434752",DA
" 246775562270248832",DA
" 247739176832560384",DC
" 248346828806376704",DC
" 248937133409693440",DA
" 249816532255072384",DC
" 250278709394343936",DA
" 250422191362602112",DC
" 250862824946594816",DC
" 251529987987724032",DA
" 251657389598509184",DC
" 251953501824449536",DC
" 253263123250990080",DA
" 253270579314396800",DC
" 253912487945341952",DC
" 253936196167057664",DA
" 255332679012868992",DA
" 255924254922549504",DC
" 256087115787263616",DC
" 256398694189755008",DA
" 256832412872262656",DC
" 257469717298711040",DA
" 257771743696047744",DC
" 257797990240667520",DA
" 258068813702377088",DC
" 258439731372229120",DA
" 258761510321879424",DA
" 260218878625842816",DA
" 260698540568207104",DC
" 260932354294084480",DC
" 261268495614869888",DA
" 261664427174056320",DA
" 261671470922942976",DA
" 262331517199022080",DC
" 262630206404461696",DA
" 263082591016645504",DA
" 263427150473867776",DC
" 263953434288520704",DA
" 264018412848580352",DC
" 265392557571108608",DC
" 265911806235019008",DZ
" 266077145295627520",DA
" 267146523434846208",DA
" 267180397838852480",DA
" 267712698905363840",DA
" 267990776561755264",DA
" 269226279739467904",DC
" 269694160592289664",DA
" 270485053053115648",DC
" 271069404823970176",DC
" 271431144150632832",DC
" 271992414775824640",DA
" 274483289649153024",DA
" 275550743638838144",DA
" 276160830856800000",DC
" 276192136878054656",DA
" 276438530560644864",DC
" 276576484910598912",DC
" 277090540953615616",DA
" 277130879287684480",DA
" 277138090534130560",DA
" 279056600887092736",DA
" 279481733930322432",DC
" 279512833789658752",DA
" 280135805908017920",DC
" 280333821081574528",DA
" 280580558366891648",DA
" 280652919970508672",DA
" 280678659710470016",DC
" 281997867507351936",DA
" 282639432539759872",DC
" 283096760659311744",DA
" 286315576653291904",DC
" 286925049691578496",DA
" 286977585732431488",DA
" 287331323534964096",DA
" 288287451972695808",DA
" 288744844514936576",DA
" 289974716990002304",DC
" 290222381984000128",DA
" 290531967521897856",DC
" 290602027028411136",DZ
" 290678477446232960",DC
" 291057843317534464",DA
" 291186211300158592",DAZ
" 291231871097124736",DA
" 292454841560140032",DA
" 292721778072496640",DA
" 293138458619500800",DQ
" 293639457964733696",DC
" 293746905161696640",DC
" 294023805998116864",DC
" 294798377579784832",DC
" 295513751628028032",DA
" 295779073232577280",DA
" 295831781071536896",DA
" 296317765211001472",DA
" 297399444134124032",DAH
" 297470774951165568",DA
" 297812418125109632",DA
" 298575474900387072",DC
" 299265624604662656",DA
" 299563420457225600",DC
" 300940112094402176",DA
" 301101602864613888",DA
" 301521311363899904",DA
" 302143768088623488",DA
" 302303987548932736",DC
" 302388929117252736",DC
" 303163913017152384",DC
" 303859968300444416",DA
" 303958443311053824",DC
" 305232742928041216",DC
" 305977799494481792",DC
" 306350606950880128",DA
" 306779618349361920",DZ
" 306805388153226368",DA
" 307116824821161088",DA
" 307246738992334464",DA
" 308012445761585024",DA
" 308383019835259008",DA
" 308651262017484544",DC
" 310420410586857856",DC
" 310420410587121920",DC
" 311899773416896000",DC
" 312589747027492736",DC
" 313302818972980736",DA
" 313521312549882496",DC
" 313967881773971840",DA
" 313996228559363840",DA
" 314637484355364224",DC
" 314956480167069696",DA
" 315687277442204672",DA
" 315800325276303872",DA
" 316274416650957952",DC
" 316773766729205632",DC
" 317317170285551104",DC
" 318066311366852736",DA
" 318528007466920192",DA
" 320029150076023808",DZ
" 320850687124903296",DA
" 322577813733826176",DC
" 325134624944612992",DA
" 325863876032137088",DA
" 325899163483416704",DA
" 327426526869286656",DC
" 327766649623335296",DA
" 328009783428208256",DA
" 328360768156457216",DA
" 329127810659086208",DA
" 330661599315957504",DA
" 331355288075289472",DC
" 332463900735873280",DA
" 332820971434386432",DA
" 333010327952701696",DAZ
" 333157692573502080",DC
" 333536852290245504",DZ
" 334236695734051456",DA
" 334244594178112384",DC
" 334716353385995648",DC
" 334723160910027136",DA
" 335069060394013952",DA
" 335110150347517568",DC
" 335801708801349888",DA
" 336814913062739456",DC
" 336905343596671616",DC
" 337078070001329664",DC
" 337449812306056832",DC
" 338094538438744320",DA
" 338141469544446336",DC
" 339492017717622016",DA
" 339492052075797376",DC
" 339985316184848384",DC
" 341432690100603904",DA
" 342283089327885184",DA
" 342346861002471296",DA
" 344627282479152384",DC
" 347248758717125376",DC
" 349026806460052352",DC
" 349112018609118336",DC
" 349225096508668288",DA
" 350434804114224384",DA
" 350507711181524864",DA
" 350797157618530176",DA
" 351414876995643904",DA
" 351429930856782464",DA
" 351841315707188992",DA
" 352810260330055424",DC
" 353783465558846976",DA
" 353917571618022784",DA
" 354464720387633792",DB
" 355636623690054784",DA
" 355669578975070976",DA
" 356318630134795776",DC
" 356922880493142016",DA
" 357457350520905216",DC
" 357479272034582528",DA
" 357623342415672960",DC
" 357799539156256512",DC
" 358476322920617472",DA
" 359162349456862720",DA
" 359412346617855360",DC
" 359967050233785344",DA
" 360184031982649472",DC
" 360477739024752000",DC
" 360858960322547968",DC
" 361418474306342656",DA
" 362636595747785728",DC
" 362877874124807936",DA
" 363066814030170624",DA
" 363364266286396800",DC
" 363710101347919104",DC
" 363756658793281024",DC
" 363925536907389440",DA
" 364978005758397952",DC
" 365204711311382400",DC
" 365553737534259968",DC
" 366429258027943040",DA
" 366784816895496064",DA
" 367799116372410752",DA
" 367873844509139584",DC
" 367949367212923392",DA
" 368075574827351168",DA
" 369168794326711808",DC
" 370386679549414144",DA
" 370582117741262080",DA
" 370958769192327296",DC
" 372111985092019840",DA
" 372147336967326080",DA
" 372516807234476928",DC
" 374811767174987776",DA
" 375131415820709632",DA
" 377196947196848128",DC
" 377231139432432384",DA
" 377231345590861824",DA
" 377431181828043136",DC
" 377520826387065856",DA
" 377790511677100288",DA
" 378856389416637056",DC
" 381329740830507392",DA
" 381396329995329408",DA
" 383108338321272448",DC
" 384056701459551360",DA
" 384369542583025408",DA
" 384636109728592768",DA
" 385105360675267840",DC
" 385166486649719552",DZ
" 386584233877132416",DA
" 387098667880073856",DA
" 387724053774415104",DC
" 388375681916533248",DA
" 388602146952607360",DA
" 389634764466374784",DA
" 390019142564195840",DA
" 390812925536899584",DA
" 392036334082511616",DA
" 392128830498842112",DA
" 392544862508739456",DA
" 393365609282766848",DA
" 393722263365226880",DC
" 393745597921895424",DA
" 394533879045482112",DA
" 395234439752169344",DAH
" 395481104014178816",DC
" 396370097820352256",DA
" 396963005168870528",DZA
" 397531182099486080",DA
" 397957277212371072",DC
" 398672715686799488",DA
" 399258854166919680",DC
" 399602662005852544",DC
" 401215160231429120",DQ
" 401734232798946688",DA
" 403535340221738624",DC
" 403690779381103616",DC
" 404126941898471424",DC
" 404170961021243520",DA
" 404375603326729856",DA
" 406267557895785728",DA
" 406775841506041344",DA
" 408034335644447488",DA
" 408196612391602048",DA
" 408471803834569984",DA
" 408556255774161536",DA
" 409956900443661312",DA
" 410003079932692096",DA
" 410415770452364416",DA
" 411732951025498112",DC
" 411907296641207040",DA
" 412665890941024896",DC
" 412839403319209600",DA
" 413040858770727168",DA
" 413330854959153792",DC
" 414603986339418624",DA
" 415237128941220480",DC
" 415263139263112320",DA
" 415684119076509056",DA
" 415848423045923968",DC
" 415937178545266816",DC
" 416084921124152192",DC
" 417761405779164928",DBA
" 418491412783587200",DC
" 418629470213009792",DA
" 418638094507223040",DA
" 419438916923451648",DC
" 419707266483714176",DA
" 420404425570683904",DC
" 420531621029108608",DC
" 421855815284333696",DC
" 422591796578792064",DC
" 422726589831800576",DZ
" 423690522237819904",DBA
" 423974707328909440",DZ
" 424018417222420352",DC
" 425066591097014144",DA
" 426097799867766272",DZ
" 426122397136335872",DC
" 426323367248572288",DA
" 426732767830736768",DA
" 428051391503714432",DC
" 428300220431345536",DA
" 428839049848462080",DC
" 429153475817442688",DA
" 430291749532144128",DA
" 431635455820288128",DC
" 432063195897670400",DC
" 432177373309335424",DC
" 433533998859654016",DC
" 434547439343000448",DC
" 436085007572835072",DA
" 439319598985604480",DA
" 439494077735062144",DA
" 439872275376398592",DA
" 439905192004402304",DA
" 440396914222763264",DA
" 442497084509645568",DC
" 443090202311138304",DC
" 443228770838923904",DC
" 443384145574953472",DC
" 443737093108523648",DA
" 444163836759253248",DA
" 445819288954989824",DC
" 446199342020477184",DA
" 446263083632852608",DC
" 446381964030017152",DC
" 447366340472109440",DA
" 447553390590937984",DA
" 449686958541646080",DA
" 450919408000119680",DA
" 451316125538855680",DA
" 451522627564532352",DC
" 451807920771272576",DA
" 452157015712452608",DA
" 452244667407804800",DA
" 452468516802841600",DC
" 452644885339476480",DC
" 452740817730716288",DA
" 453562088496088320",DAZ
" 453678464924245632",DA
" 453704299153318144",DA
" 453840161856049792",DC
" 455517329408362752",DC
" 455683802341249408",DC
" 456853407837257216",DA
" 457474219590579328",DA
" 457817164137702784",DA
" 458280299055091840",DA
" 458558784733311232",DA
" 458842046415239936",DA
" 458875306644097408",DC
" 459005010352603520",DA
" 459237630076876672",DA
" 459532294895043456",DA
" 459546519826384512",DC
" 459731585673026816",DA
" 461074978434675456",DC
" 461744890248576512",DC
" 462506821746606464",DA
" 462698785303228672",DC
" 462698789598718464",DC
" 463731845197037952",DC
" 464143406147241344",DC
" 466384799259137920",DA
" 467196681215333504",DC
" 468600590067755264",DA
" 468737616704971136",DA
" 469107808517135360",DC
" 470248070801359872",DA
" 470502504662843648",DA
" 470639806179201792",DC
" 470826482637310848",DC
" 472222136549511552",DA
" 476126540995266688",DC
" 476487417030663040",DC
" 477165132804734208",DA
" 477633524760785920",DA
" 478199390994596480",DC
" 478735922607634560",DC
" 478852711355785728",DC
" 479163220314358784",DC
" 479431569873094912",DA
" 480423157556582912",DA
" 481522428669968256",DC
" 481698110012697728",DAH
" 481814138550499456",DC
" 482581327087778176",DA
" 483864521578673024",DC
" 484231556602236288",DC
" 484597380437347584",DA
" 485070136078136704",DC
" 485374906957209728",DC
" 485472355473468672",DA
" 485919719266692736",DC
" 486103780086543232",DA
" 487026235983960576",DC
" 488173610727575936",DC
" 488173610730674816",DA
" 488752194362419200",DC
" 489365038952243072",DA
" 490100990189461888",DA
" 490169022466344448",DC
" 490974032483668352",DC
" 490974032483671424",DC
" 491623912573002368",DC
" 491638962139198592",DC
" 492177379239202304",DC
" 492442090962517376",DC
" 492770016006993664",DA
" 493171509550339840",DA
" 493179687167706496",DC
" 493222087085562624",DC
" 493391411875727616",DC
" 493751433214206080",DA
" 493896500028937728",DA
" 494828271711586432",DC
" 495058241441193728",DA
" 495115995862939904",DA
" 495551887802902272",DA
" 497532795435611392",DA
" 497837733818729984",DA
" 498014858269371904",DA
" 498014931287112960",DA
" 498206555544563584",DA
" 498364335463717760",DC
" 498371997688483968",DA
" 498487545190443136",DA
" 498732396983384320",DC
" 498755757308203520",DA
