gaiaedr3,spectype
,sdB
,sdB
,sdOB
,sdB
,sdB
,sdB+MS
,sdB+MS
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB+MS
,sdB
,sdB
,sdB
,sdB+MS
,sdB
,sdO
,sdB
,sdB
,sdB
,He-sdB
,sdB
,sdB+MS
,sdB
,sdB
,sdO
,sdB
,sdB
,sdB+MS
,sdB
,sdB
,sdB
,sd
,sdB
,sdB
,sdB
,sdB+MS
,sdB
,sd+MS
,sdB+MS
,sdB
,sdB+MS
,sd
,sdB+MS
,sdO
,sdB
,sd+MS
,sdO
,sdB
,sdB
,sdB+MS
,sdB
,sd
,sdB
,sdB
,He-sdO
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB+MS
,sdB
,sdB
,sdB
,sd
,sdB
,He-sdO
,sdB+MS
,sdB+MS
,sdB+MS
,sdB+MS
,sdO
,sdB+MS
,sdB+F
,sdB
,sdB
,sdB
,DA
,sdB+F
,sdB
,sdB
,sdB
,sdB
,sdB+F
,sdB+F
,sdB
,sdB+F
,sdB+G
,sdB
,sdB+F
,DA
,He-sdO
,DA
,sdB
,sdOB
,sdB
,sdB+F
,sdOB+F
,sdB+F
,sdB
,sdB+F
,sdB
,sdB
,sdB+F
,sdB+F
,sdB
,DAe
,sdOB
,sdB
,sdB
,sdB
,sdB
,sdO
,sdB
,He-sdO
,sdB
,sdB+F4
,He-sdO
,sdB
,sdOB
,sdB
,sdB
,sdB
,sdB+F
,sdB
,sdB
,sdB+F
,He-sdO
,He-sdB
,sdB+F
,sdB
,sdB
,sdB
,sdB+F2
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,He-sdO
,sdB
,sdOB+G
,sdB
,He-sdO
,sdB
,sdOB+F
,DAwk
,He-sdO
,sdB+F3
,sdB+F
,sdB
,sdB+F
,sdB
,sdB
,sdB+F
,sdB
,sdB+F
,sdB
,sdB
,sdB+F
,sdB+F
,sdB
,sdB
,sdB
,sdOB
,sdB
,sdB
,sdB
,sdB
,He-sdO
,sdB
,DB
,sdB
,sdO+G3.5III
,He-sdB+F
,sdB+WD
,sdB
,sdB
,sdB+MS
,sdB+F
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,He-sdB
,sdB
,sdB
,sdB
,sdB+F
,sdB
,sdB
,sdB
,sdB
,He-sdO
,sdB+F1
,DA
,sdB
,sdB
,sdB+F
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB+F
,He-sdO?
,sdB+F
,sdOB
,He-sdO
,sdB
,sdB
,sdB+F
,sdB
,sdB
,sdB+F
,He-sdO
,sdB+F
,sdB
,sdB+F
,sdB
,sdB
,sdB
,sdB+F
,He-sdO
,sdB
,sdB
,sdB
,sdB
,sdB+G
,sdB
,sdB
,He-sdB
,sdB
,sdB+MS
,sdB
,DA
,sdB+F
,DA
,sdB+F
,sdB+F
,sdB
,sdB
,sdB
,sdB+F
,sdB+F
,sdB
,He-sdO
,sdB+F
,sdO+F
,sdB+F
,sdB+F
,sdB
,sdB+F
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,DA
,sdB+F
,sdB
,sdB
,He-sdO
,sdB+F
,sdB+MS
,sdB
,sdB
,sdB
,sdB+F
,sdOB
,sdB
,He-sdO
,sdB
,sdB+F
,sdB
,sdB+F
,sdB
,sdB
,sdB+F3
,sdB
,DA
,DA
,sdB
,sdB
,sdB+F
,sdB
,sdB+F
,sdOB
,sdB
,DAe
,sdB
,sdB
,sdB
,sdB
,sdO+F
,sdO
,sdB
,sdB+F
,sdB+F
,sdB+F
,sdB
,sdB+F
,sdB
,He-sdO
,sdOB
,sdB+F
,sdB+F
,sdB+F
,sdB
,sdB
,sdB
,sdB
,He-sdOB
,sdB
,sdO
,sdB
,sdB
,He-sdOB
,sdB+F
,sdB
,sdB+F5
,DA+dM
,sdB
,DA
,sdB
,sdB+F
,sdB
,sdB+F
,sdB
,sdB+F0
,sdB+F
,sdB+F
,sdB+F
,sdB
,sdB
,DA
,D
,PG1159
,DA
,sdOB+F
,sdB
,sdB+MS
,He-sdOB
,sd
,CV
,sdB
,sdO
,sdB+MS
,He-sdOB
,sd
,sd
,sd
,sdB
,sdB
,sd
,sd
,sdB+dM
,He-sdO
,sdO
,sd
,sd
,sd
,He-sdOB
,sd
,sdB
,sdB
,sd
,sd
,sd
,sd
,sd
,sd
,sdB
,sd
,sd
,sd
,sdB+MS
,sd
,sdB
,sdB
,sdOB
,sdB
,sdOB
,sdO
,DA
,sdOB
,DA
,sdB
,DA
,sd
,He-sdOB
,sd
,sdB
,sdB
,DA
,He-sdO
,He-sdB
,sdB
,sd
,DA
,He-sdOB
,He-sdO
,DA
,sdO+G
,sdB
,DA
,DA
,sd
,sd
,DA
,sdOB
,sd
,sd
,sdO+MS
,DA
,sdOB
,DA
,DA
,sd
,sd
,DA
,DA
,sd
,sd
,DA
,DZ
,sd
,DA
,DA
,DA
,DZ
,DA
,DA
,He-sdO
,sdB
,DA
,sd
,DA
,sd
,sdB
,sd
,DA
,sdB+MS
,sdB
,sdB
,sdB
,He-sdO
,sdB+MS
,sd
,DA
,sd
,sd
,sdB
,sdB
,DZ
,sdOB
,sdB+WD
,sd
,sd
,sd
,sd
,sdB
,sdB+MS
,sd
,sd
,sdO
,sd
,sd
,sd
,sdB
,sdOB
,sdB
,DBA
,sd
,sdOB
,sd
,sd
,sdB
,sdB
,sdOB
,sd
,sd
,sdB
,sdB
,He-sdOB
,sdB
,sd
,sdB
,sdB
,sd
,He-sdO
,sdB
,sd
,sdB
,sd
,sdB
,sdB+WD
,sd
,He-sdO
,DA
,sdBV+dM
,sdOB
,sdB+dM
,sdB+G4V
,sdB
,sd
,DA+M?
,DC
,D
,DC
,DA
,DA
,sd
,sdOB
,sdB
,sdB
,He-sdOB
,sd
,sdB
,sdB
,sdB+G0IV
,sdB+F2IV
,sdB
,sdB+F4V
,sd
,sd
,sdB+F
,sd
,sd
,sd
,sd
,sdB
,sdB+F
,sdOB
,sd
,sd
,He-sdO
,sdB+F
,sd
,sdB
,sd
,He-sdO
,sdB+MS
,sd
,sdB+MS
,sd
,sd
,sd
,sd
,sd
,sdB
,sdB
,sd
,sdB+MS
,sdB+WD
,sd
,sd
,He-sdOB
,sd
,sd
,sd
,sdB
,sdB
,He-sdOB
,sdOB
,sdB
,sdO
,sdB
,sdB
,sd
,sdB
,sdB
,sd
,sd
,sdB
,sdB
,sdB
,sdB
,sdO
,sdB
,He-sdOB
,sdB+F
,sdB+F6V
,sdB
,sdOB
,sdB
,sdB+MS
,sdOB
,sdB
,sdOB
,sd
,sdB
,sdB
,sdB+MS
,sdB
,sdO+F?
,sdB+MS
,sdB+MS
,sd
,sdB
,sdBV
,sd
,sdB
,sdB+F
,sdB
,sdB+MS
,sdB
,sdB+MS
,sdB
,sdB+MS
,sd
,sdB+MS
,sdB+MS
,sdB
,sdB
,sdB
,sd
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,He-sdOB
,sdOB
,sdB
,sdOB
,sdO
,sdB
,sdB
,sdB+MS
,sdB+MS
,sdB+MS
,sdB
,sdB+MS
,sdB
,sdB
,sd
,sd
,sdB
,sdB
,sdB
,sdOB+MS
,sdO
,sd
,sdB
,sdB
,sdB+MS
,sdB+F
,sd
,sdB+MS
,sdB
,He-sdO
,He-sdO
,sdO
,sdB
,sdB+MS
,sdB+F5V
,sdB
,sdB
,sdB
,sdB
,sdB+MS
,sdB
,sdB
,sdOB+MS
,sdB
,sdB+MS
,sd
,sdB
,sdB
,sdB+MS
,sdO
,sdB+MS
,sdO
,sdB
,sdB
,sd
,sdOB
,sdOB
,sdB
,sdB+MS
,sdB+MS
,sdB
,sdB+MS
,He-sdO
,sdB
,sdOB
,sdB+MS
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sd
,sdB+MS
,sdB+MS
,sdO
,sdB
,sdB
,sdB
,sdOB
,sdOB
,sdO
,sdB
,sdB+MS
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB+F0.5V
,sdB+MS
,sd
,sdO+MS
,sdB+MS
,He-sdO
,sdB
,sdB+MS
,sdB
,sdOB
,sdB
,sdB+MS
,sdOB
,sdB+G0V
,sdB
,sdB+MS
,sd
,He-sdO
,sdOB
,He-sdOB
,sdB
,sd
,sdB+MS
,sdB
,sdB
,He-sdO
,sdB
,sdB
,sdB
,sdB
,sdB+MS
,sdB+MS
,sdB
,sdB
,sdB
,sd
,sdB
,sdB+MS
,sdB
,sdB
,sdB
,sdB
,sdB+MS
,sdB
,sdOB
,sdB
,sd
,sd
,sd
,sdB
,sdB
,sdOB
,He-sdO
,sd
,sd
,sdO
,sd
,sdB
,sdB+MS
,sd
,sd
,sd
,sd
,DAZ
,sd
,sd
,sdB
,sdB
,sdOB
,sdB
,sdB
,sdB
,sdB
,He-sdOB
,sdB
,sdB+WD
,sdOB
,sdB
,sdB
,sdB
,sdB
,sd
,sdB
,sdB
,sdB
,sdB
,sdB+F7V
,sd
,sdB
,He-sdOB
,sdB
,sdB
,sdB
,sdB+MS
,sdB
,sd
,sd
,sdB+F7V
,sd
,sdO
,He-sdO
,sdB
,sdB
,sdB
,sdOB
,sdB
,He-sdOB
,sdB
,sdB
,sdB
,sdB
,He-sdO
,sdB
,sdB+MS
,sdO
,He-sdOB
,sd
,sd
,sdO
,sdO
,sd
,sd
,sd
,sdB
,sd
,sd
,sd
,He-sdOB
,sd
,sd
,He-sdOB
,He-sdB
,He-sdO
,sdB
,sd
,sdB
,He-sdO
,sd
,sdB+MS
,sd
,sd
,sd
,sd
,sd
,sd
,sdB+MS
,He-sdOB
,He-sdO
,sdB+MS
,He-sdOB
,sdB
,He-sdOB
,sdB
,sdB
,He-sdO
,He-sdO
,sd
,sd
,He-sdB
,sdB
,sd
,sd
,sdB
,sdB
,sd
,sd
,sd
,sdB
,sd
,sdOB
,sdOB
,sdO
,He-sdO
,sd
,sd
,sdB
,sd
,He-sdOB
,sdO+F3V
,sdB
,sdB+F6V
,sd
,He-sdO
,sdB
,sd
,sdOB
,sd
,sdO
,sd
,sd
,He-sdOB
,sd
,sdB
,sdB+MS
,sd
,sdB
,sdB+MS
,sdO
,sd
,sdO
,sdB+MS
,sd
,sd
,sdB
,sd
,sdB
,sd
,sdB
,sdO
,sd
,sdB+F5.5IV-V
,sdOB
,sd
,sd
,sd
,sdB
,sdB
,sdB
,sdB+MS
,sdB
,sdB
,sdB+F7V
,sdB
,He-sdO
,sdB+F
,sdB
,sd
,sdB+G
,sdB
,sd
,sdB
,sdB+G1V
,sdB+MS
,sdB+MS
,sdB
,He-sdOB
,He-sdO
,sd
,sdB+MS
,sdB
,sdB+F
,sdB
,sdB+MS
,sd
,sdB
,sdB+MS
,He-sdO
,sdO
,sdB
,sdB
,sdB+MS
,sdB
,sdB+MS
,sdB
,sdB+MS
,sd
,sdB+F4V
,sdB+F8V
,sdB+MS
,sd
,sdBV
,sdB
,sdB+F
,sdB
,sd
,DA
,DA+M
,sdB
,sdB
,sdOB
,DZ
,DB+M
,DA
,sdO
,sdB+MS
,DB
,DA
,DA
,CND
,sdB
,sdB
,sdB
,DA
,DA
,D
,D
,DA
,sdB
,DA
,
,
,sdOB
,sdB+MS
,D
,DA
,sdB
,DA
,sdB
,sdB
,sdB
,sdB
,
,He-sdO
,He-sdO
,sdB
,CND
,CND
,
,
,
,
,D
,
,
,
,
,A1IV
,sdB
,sdO
,CND
,sdB
,
,
,
,
,
,He-sdOB
,sdOB
,
,
,sdB
,sdB
,He-sdO
,sdB
,CND
,
,sdB
,DA
,CND
,
,sdB
,DA
,
,
,
,
,CND
,DA
,sdOB
,CND
,sdOB
,He-sdOB
,DA
,sdB
,
,DC
,DA
,sdOB
,
,DC:
,DA
,sdB
,He-sdO
,DA
,sdB
,sdB
,DC
,sdB
,sdB
,sdB
,
,
,
,
,
,
,sdOB
,CND
,
,sdB
,
,
,
,
,
,DA
,
,CND
,
,
,sdB
,
,
,CND
,sdOB
,
,He-sdO
,sdB
,sdB
,sdB
,sdB
,
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,DA
,DAZ
,
,sdB
,He-sdB
,
,He-sdO
,sdB
,sdB
,sdOB
,DA
,sdB
,
,
,
,sdOB
,
,sdB
,He-sdO
,sdB
,sdB
,sdB
,sdB
,sdB
,sdB
,sdOB
,sdB
,He-sdO
,sdB
,sdB
,sdB
,sdOB
,He-sdB
,
,He-sdO
,
,sdOB
,sdOB
,sdOB
,He-sdO
,sdB
,CND
,He-sdOB
,He-sdO
,
,sd
,He-sdOB
,sdB
,sdOB
,sdB
,CND
,
,CND
,He-sdB
,sdOB
,sdB
,sdOB
,CND
,D
,D
,DA
,DA
,DA
,sdB
,sdB
,sdB
,
,sdOB
,CND
,
,DA
,sdB
,He-sdOB
,sdB
,sdB
,sdB
,sdB
,DA
,sdB
,DA
,DA
,DA
,He-sdO
,
,sdO
,sdOB
,
,
,
,
,CND
,
,
,sdO
,
,
,
,sd
,sdOB
,CND
,DA
,DA
,DA
,sdO
,CND
,CND
,sdOB
,
,
,D
,sdB
,DA
,sd
,
,sdB
,He-sdO
,CND
,sdB
,sdB
,sdB
,
,sdB
,
,sdO
,sdB
,
,He-sdOB
,sdB
,
,sdB
,sdB
,sdOB
,sdB
,sdB
,sdOB
,sdOB
,He-sdOB
,CND
,CND
,CND
,DC
,CND
,CND
,
,
,
,
,CND
,DA
,CND
,DA
,
,
,CND
,CND
,CND
,CND
,
,
,
,
,
,CND
,
,CND
,
,CND
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
