GaiaEDR3,specClass
293658424540152704,DC
293674470538602496,DA
293705463022338304,DA
293705463022338304,DA
293705463022338304,DA
293762465828123008,STAR
293813352600758656,DC:
293813352600758656,DC
293918940076588288,DA
293954536765735424,DA
294005079941361792,STAR
294036523396554112,WD
294036523396554112,DA
294062563782633216,DA
294062563782633216,DA
294103348792364800,DA
294103348792364800,DA
294125858715647360,CV
294137605452148608,DA:
294137605452148608,DA
294199727858256768,WD
294222474007447808,DA
294290854179896192,DA
294290854179896192,DA
294375065603505536,Unreli
294375065603505536,DA
294384170934237312,DA
294384170934237312,DA
294384170934237312,DA
294384170934237312,DA
294434439231101440,Unreli
294434439231101440,DA
294447495931751424,Unreli
294447495931751424,DA
294449351357598592,Unreli
294449351357598592,DA
294501578160093952,DA:
294501578160093952,DA
294641972051295360,DA
294641972051295360,DA
294641972051295360,DA
294661763260654336,DA
294661763260654336,DA
294661763260654336,DA
294705812444552448,DC
294705812444552448,DC
294705812444552448,DC
294728627313108608,DA
294728627313108608,DA
294775459634581248,DA_MS
294775459634581248,DA_MS
294775459634581248,DA_MS
294798377579784832,Unreli
294798377579784832,DC
294804974649962496,Unreli
294804974649962496,DA
294804974649962496,DA
294820024215465600,DA
294828579790230528,DA
294828579790230528,DA
294837307163831296,STAR
294857407610327040,DA
294857407610327040,DA
294857407610327040,DA
294857407610327040,DA
294857407610327040,DA
294867410589739008,DA
294867410589739008,DA
294867410589739008,DA
294898781030985472,WD
294898781030985472,DA
294902659385996288,DA
294902659385996288,DA
294910699564986240,STAR
294910699564986240,Unreli
294976567183906560,DA
294976567183906560,DA
294976567183906560,DA
295222376751921920,STAR
295286835620380032,DZ
295844769052709120,DA
296207401730957568,DA
296529013177307904,DA
296529013177307904,DA
296585083975486464,DA_MS
296589275863535744,DA
296788356187711104,DA_MS
296879340774832896,DA
296879340774832896,DA
297021796250341376,DA
297811623555976320,DA
298218344074252800,DA
298536206013142912,DA
299129182083300352,DA
299415123826071680,DA
299646605383880448,DA
299817270203790464,DA
300086341315084544,DZ
300313218667865344,DA
300483333731679232,DA
300540061660343040,CV
301725369554363648,STAR
301966162601127296,DA
302047766979785984,DC
302066149439895680,DA
302222623688124800,DZ
302318663452610816,DA
302511176771373056,DA
302646317917403136,DA
302776094649557888,DA
302877211064032384,DA
303433185990484224,DA
303769980145969664,Unreli
303917967539407360,WD
304268539950200832,DA
304311798860298880,DA
304414809356383872,DA
304806785250948736,DA_MS
305265006722024064,DA
305265006722024064,DA
305286103601797888,DA
305456905860898432,DA
305537857405323008,WD
305983370067794944,STAR
306323698981041280,DA
306357474603052544,DA
306424854050090368,STAR
306424854050090368,Unreli
306504053247863040,Unreli
306504053247863040,DA
306779618349361920,DZH
306820506437387264,DB
306820506437387264,DB
306820506437387264,DB
306855175414139264,STAR
306863627909530624,DA
306866376688238208,DA
306866376688238208,DA
306921489708694912,DC
307048792539957632,DA
307051232081393024,DC
307051266441125632,DB
307063124845482752,DA:
307154659188700160,DA
307330065652968064,DA
307496396855061632,WD
307812746962944256,STAR
307827663384034048,DA
307912424564748416,DA:
307942214456157440,DA
308121537931389952,DA
308350820465609728,STAR
308384183771218048,DZ
308545884995119360,DA
308629649742001408,DA
308668892858515712,DA
308724173382743296,DA
308940914611991552,DA
309140888289003136,DA
309148035114958720,DQ
309169922268399360,DA
309205793834573440,DA
309303306772749440,DA
309527057389332864,DA
309597529212419584,DA
309643536903500928,DA
309700264831629952,DA
309767609917723264,DA
309771698726657792,Unreli
309779773265531776,DA
309794719750298624,DA
309815580407127808,STAR
309815580407127808,STAR
309832893420409856,DA
309945288419470208,DC
310054341933521664,DBA
310104197915727104,DA
310195354299572864,DB
310195354299572864,DB
310202535484988672,DA
310202535484988672,DA
310202535484988672,DA
310202535484988672,DA
310218822001031936,DA_MS
310240812233629824,STAR
310240812233629824,STAR
310263592740515584,DA
310263592740515584,DA
310300323301763328,Unreli
310300323301763328,Unreli
310326780299022592,DA
310326780299022592,DA
310453980051032192,STAR
310460512696555008,DA
310460512696555008,DA
310488477228548352,DA
310488477228548352,DA
310488477228548352,DA
310488477228548352,DA
310509127430418176,DA
310509127430418176,DA
310509127430418176,DA
310521840533705856,DA
310521840533705856,DA
310527131933494912,DA
310527131933494912,DA
310527617265217792,DA
310527617265217792,DA
310530980225107328,DA
310530980225107328,DA
310545480033668352,DC
310545480033668352,DC
310545480033668352,DC
310587987325507072,DA
310587987325507072,DA
310587987325507072,DA
310608083477176832,DA
310608083477176832,DA
310608083477176832,DA
310622381423766912,STAR
310622381423766912,STAR
310646944341784448,DA
310674711305262720,DA
310674711305262720,DA
310674711305262720,DA
310730404145657600,DA
310730404145657600,DA
310730404145657600,DA
310739097159569152,DA
310739097159569152,DA
310786380454474624,STAR
311262739574075264,STAR
311977593929900928,DA
312001203364941696,STAR
312116407272703232,Unreli
312458836424877184,DA
312554562655769984,STAR
312567516278090496,STAR
312918810242506624,CV
313012818486800384,STAR
313040924752849280,DA
313559928600065536,DA
313570786282227456,DA
313615522658388864,DA
313656719984478336,DA_MS
313678607138059264,DA
313699536512644480,DA
313705682611907968,DA_MS
313705682611907968,DA
313731143181486080,DA
313731143181486080,DA
313816565781643008,DB
314544438184036736,DA
314630990365276160,DA
314956480167069696,DA
314998502126061056,DA:
315144840252674048,DA
315157072319341312,DC
315187416263891200,DA
315192119251944832,STAR
315192119251944832,DA
315242524988329472,WD
315242524988329472,DA
315403470297682304,STAR
315585336393681152,STAR
315677244398476544,WD
316391587654215168,Unreli
316391587654215168,DA
316413642310851840,DA
316480540721888128,DA
316480540721888128,DA
316480540721888128,DA
316499129339676032,DA
316499129339676032,DA
316534004474061184,STAR
316617743451981312,DA
316685943237675776,DC
316685943237675776,DA
316710446026351104,DA
316710446026351104,DA
316711128925260672,DA
316711128925260672,DA
316724877116640896,DA
316773766729205632,DC
316773766729205632,DC
316842627939935744,DA
316867190857637120,DA
316894884807026304,DA
317357882280778880,DA
317634168937635200,DZ
317733502940761216,WD
318632662933762944,DA
319871949978116480,DA
320099415741244160,DA
320158269679427712,STAR
320236442377814272,DA
320947998199092992,STAR
321203016178109440,DA
321922710961862016,STAR
323175952355035008,DA
323321873867827968,UNKN
323342459647016448,DA
323342459647016448,DA
323342459647016448,DA
323358707508073472,DA
323358707508073472,DA
323375784298256896,DA
323375784298256896,DA
323406643638384512,DA
323406643638384512,DA
323415744673368704,DC
323427976740296832,DA
323442442190243840,Unreli
323442442190243840,STAR
323462439558510976,DA
323475049582598400,DA
323498929600290944,DA
323498929600290944,DA
323521675747536384,DB
323521675747536384,DB
323570810172386944,UNKN
323570810172386944,STAR
323571256848983552,DA
323571256848983552,DA
323638739376399744,DA
323682067006180608,DA
323694161634236160,DB
323694161634236160,DB
323711582020489728,DA
323728864969340416,DA
323728864969340416,DA
323753741420753280,DA
323797932337918464,DA
323801467096976384,DB
324088714509809536,DA
324100121943178240,STAR
324100121943178240,STAR
324144308565899264,DA
324194473783966976,DA
324286523522485760,DA
324286523522485760,DA
324639363676527744,DA
325580721723772416,Unreli
325580721723772416,DC
325773475564740864,DA
360534535672617600,STAR
360534535672617600,DA
360726537890299904,DA
360887478905602304,DA
361054845191079296,DA
361163903000186112,DC
361246675610754304,DC
361263550537087872,DA
361278458368372992,DC
361363704879572736,CV
362206824139253632,DA
362779085581873536,DZ
363399283154635008,DA
363414190985558656,DA
363694532090984448,DA_MS
363748992276589696,DC
363762220775958912,DA
363891001075403648,DA
363982672856526720,DA_MS
365063840679676288,DA
365223437369520128,DA
365367031011191040,DA
365969696530354176,Unreli
366241829951487616,DA
370046960520651008,DA_MS
371590090730929536,DA
371598302707808000,DA
371598302707808000,DA
371710762131617792,DA
371712445758805632,DA
371712445758805632,DA
371759896557541376,DC
371789067979589504,DA
371789067979589504,DA
372133421272673536,DA
377175373578461568,DA
401029823807962624,STAR
557301216730452864,STAR
558036098518042752,DA
558058466707887360,DB
558102760706695424,DA
558146255839072896,DB
558425359994154496,DC
558427455938206336,DA
558429448802982272,DB
558432854712989696,DC
558441062394445184,DA
570449138123661696,DA
570702919147270016,DA
576469136079927168,DA
576473916379740288,DA
576507103590563456,DA
576531464645151872,DA
576531464645151872,DA
576552836402492416,DA
576552836402492416,DA
576570153711094144,DA
576623514384472960,DA
576626847279124352,DA
576648425194718080,DA
576652307845164288,DA
576657874122667520,DA
576671686737540224,DB
576671686737540224,DB
576696563188488576,DA
576806617430573568,DA
576829260497686016,DA
576868052642895488,DC
576994599559149952,DA
577005422876906624,DC
577026966432521088,WD
577026966432521088,DA
577026966432521088,DA
577032532710132736,DA
577045589410219904,DZ
577072596164762624,STAR
577072596164762624,DBA
577121318274288896,DA
577158289352938752,DB
577162721759206528,DA
577257520277310848,DA_DQ
577285867061372032,DA
577285867061372032,DA
577441001279950080,DA
577441001279950080,DA
577443891793263488,DA
577477182084060160,DA
577516008588840832,DA
577517142459726336,DA
577526110351639168,DA
577571774444224640,DA
577571774444224640,DA
577621566000296832,DA
577621566000296832,DA
577623726369041536,DB
577675373350641536,DA
577691281909333376,DA_MS
577696019258446720,DA
577696019258446720,DA
577735434173298816,DA_MS
577750410723421568,DA
577750410723421568,DA
577792849295295488,STAR
577792849295295488,STAR
577792849295295488,STAR
577816553219720320,DA
577824078002797056,DA
577824078002797056,DA
577863969659254016,DA
577870193067136384,DA
577878783001765376,DA
578003229679755520,DA
578004741507189760,DA
578030476950925568,DA
578048412734579840,DA
578082845489063680,DA
578151251431478656,DA
578179288978140288,DA
578183480866249984,DA
578192483117231872,DA
578192483117231872,DA
578222930140926208,STAR
578224643832486144,DA
578242442177038464,DA
578242442177038464,DA
578242442177038464,DA
578379365734698752,DQ
578379365734698752,DQ
578379365734698752,DQ
578382423751429120,DA
578382423751429120,DA
578382423751429120,DA
578382423751429120,DA
578406235049961472,DA
578467051786647680,DA
578467257945087104,DA
578467257945087104,DA
578467257945087104,DA
578500110152019584,DA
578500110152019584,DA
578508146033799680,DA
578539413395848704,DA
578539413395848704,DA
578539413395848704,DA
578544807874817920,DA
578596931597666688,DA_MS
578600367571537024,DA
578600367571537024,DA
578709631539357440,DA
578709631539357440,DA
578795157223354624,DA
578817658557036672,DA
578817658557036672,DA
578824942821404544,DA
578825183339579648,DB
578833777569949184,DA
578847968141894912,DA
578863357009428480,DA
578863941124852480,DA
578869610481847296,DA
578990350602709120,DA
578990350602709120,DA
579134249186520960,DA
579147997377216896,DA
579317077354137984,DA
579368754400965632,STAR
579368754400965632,STAR
579371301316943872,DA
579378581286256896,Unreli
